Rank,Player,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE
261,Rhys Kreuchen,39,25,8,87,43,5.12,0,0,40
262,Colin Burn,4,4,1,87,59,29,1,0,115
263,Harry Whitney,24,19,3,85,31,5.31,0,0,39.11
264,Mark Longhurst,4,4,0,85,43,21.25,0,0,61.9
265,Richard Thompson,11,9,1,84,30,10.5,0,0,64.52
266,S Jacobson,3,3,1,84,76,42,1,0,68.47
267,S Matthews,10,9,1,84,20,10.5,0,0,66.67
268,Josh Lanyon,27,17,5,82,16,6.83,0,0,42.5
269,A Brooker,8,5,1,82,27,20.5,0,0,-
270,- Bowers,3,3,0,80,30,26.67,0,0,-
271,Tony Pike,76,41,16,79,9,3.16,0,0,39.13
272,George Gomes,11,6,1,79,37,15.8,0,0,57.14
273,Dan Killick,18,15,2,78,34,6,0,0,30.15
274,- Harris,3,3,1,78,38,39,0,0,-
275,Scott Sullivan,6,5,1,78,55,19.5,1,0,100
276,D- Baxter,7,4,1,78,68,26,1,0,-
277,Oliver Dutton,19,14,5,76,27,8.44,0,0,37.98
278,R- Howe,5,5,0,76,34,15.2,0,0,27.12
279,T- Allsop,4,4,1,73,54,24.33,1,0,-
280,James Whitmarsh,15,13,1,72,17,6,0,0,25.24
281,O- Carlstrand,4,4,0,72,47,18,0,0,-
282,John Christ,3,3,0,72,62,24,1,0,-
283,Tony Rickards,13,7,1,71,29,11.83,0,0,37.5
284,- Brooker,6,6,0,71,18,11.83,0,0,-
285,- Campbell,3,3,1,70,45,35,0,0,-
286,A Bell,4,3,1,70,48,35,0,0,-
287,- Ockenden,3,3,0,69,53,23,1,0,-
288,Kit Shepperd,4,3,0,67,29,22.33,0,0,73.33
289,G- Baxter,3,3,0,66,33,22,0,0,105.71
290,- Burt,3,3,0,66,31,22,0,0,-
291,- Thomas,3,3,0,66,42,22,0,0,-
292,Seth Wallace,12,9,4,65,22,13,0,0,-
293,Tom Street,20,17,4,65,14,5,0,0,30
294,Andrew Wall,7,6,2,64,30,16,0,0,65.31
295,Sam Steel,20,14,2,64,12,5.33,0,0,32.87
296,- Bullock,5,4,1,64,42,21.33,0,0,18.87
297,Steve Wade,10,8,1,63,23,9,0,0,58.97
298,- Rattenbury,5,5,0,63,36,12.6,0,0,-
299,Chris Cooper,12,9,5,62,18,15.5,0,0,80.95
300,W- Sims,5,5,2,62,26,20.67,0,0,-
301,O Mathias,4,4,0,62,20,15.5,0,0,-
302,Sam Collyer,10,8,2,61,28,10.17,0,0,-
303,Joe Bruce,7,6,2,59,22,14.75,0,0,53.19
304,Alfie Handley,7,6,1,59,33,11.8,0,0,84.06
305,N- Harris,3,3,0,59,29,19.67,0,0,-
306,Tom Wells,8,7,0,59,28,8.43,0,0,-
307,Olly Goldsmith,4,3,0,59,23,19.67,0,0,74.07
308,Ahmed Farooq,27,19,6,58,14,4.46,0,0,66.67
309,Ollie Ward,19,13,3,58,26,5.8,0,0,52.63
310,Tom Bower,6,5,1,58,29,14.5,0,0,53.21
311,- Ockenden,3,3,0,58,50,19.33,1,0,-
312,Patrick Simmonite,12,9,2,57,17,8.14,0,0,104.44
313,A Munro,4,4,2,57,31,28.5,0,0,20.69
